98: 1100010 1100010 1 1 2 1 1125 2.25
99: 1100011 1100011 1 1 2 1 1.1875 2375
100: 1100100 1100100 1 1 2 1 1.25 2.5
101: 1100101 1100101 1 1 2 1 1.3125 2625
102: 1100110 1100110 1 1 2 1 1375 2.75
103: 1100111 1100111 1 1 2 1 1.4375 2875
104: 1101000 1101000 1 1 2 1 1.5 3
105: 1101001 1101001 1 1 2 1 1.5625 3125
106: 1101010 1101010 1 1 2 1 1625 3.25
107: 1101011 1101011 1 1 2 1 1.6875 3375
108: 1101100 1101100 1 1 2 1 1.75 3.5
109: 1101101 1101101 1 1 2 1 1.8125 3625
110: 1101110 1101110 1 1 2 1 1875 3.75
111: 1101111 1101111 1 1 2 1 1.9375 3.875
112: 1110000 1110000 2 1 4 1 1 4
113: 1110001 1110001 2 1 4 1 1125 4.5
114: 1110010 1110010 2 1 4 1 1.25 5
115: 1110011 1110011 2 1 4 1 1375 5.5
116: 1110100 1110100 2 1 4 1 1.5 6
117: 1110101 1110101 2 1 4 1 1625 6.5
118: 1110110 1110110 2 1 4 1 1.75 7
119: 1110111 1110111 2 1 4 1 1875 7.5
120: 1111000 1111000 3 1 8 1 1 8
121: 1111001 1111001 3 1 8 1 1.25 10
122: 1111010 1111010 3 1 8 1 1.5 12
123: 1111011 1111011 3 1 8 1 1.75 14
124: 1111100 1111100 4 1 16 1 1 16
125: 1111101 1111101 4 1 16 1 1.5 24
126: 1111110 1111110 5 1 32 1 1 32
127: 1111111 1111111 6 1 64 1 1 64
128: 10000000 -0 -7 -1 NaR 1 1 NaR
129: 10000001 -1111111 6 -1 64 1 1 -64
130: 10000010 -1111110 5 -1 32 1 1 -32
131: 10000011 -1111101 4 -1 16 1 1.5 -24
132: 10000100 -1111100 4 -1 16 1 1 -16
133: 10000101 -1111011 3 -1 8 1 1.75 -14
134: 10000110 -1111010 3 -1 8 1 1.5 -12
135: 10000111 -1111001 3 -1 8 1 1.25 -10
136: 10001000 -1111000 3 -1 8 1 1 -8
137: 10001001 -1110111 2 -1 4 1 1875 -7.5
138: 10001010 -1110110 2 -1 4 1 1.75 -7
139: 10001011 -1110101 2 -1 4 1 1625 -6.5
140: 10001100 -1110100 2 -1 4 1 1.5 -6
141: 10001101 -1110011 2 -1 4 1 1375 -5.5
142: 10001110 -1110010 2 -1 4 1 1.25 -5
143: 10001111 -1110001 2 -1 4 1 1125 -4.5
144: 10010000 -1110000 2 -1 4 1 1 -4
145: 10010001 -1101111 1 -1 2 1 1.9375 -3.875
146: 10010010 -1101110 1 -1 2 1 1875 -3.75
147: 10010011 -1101101 1 -1 2 1 1.8125 -3.625
148: 10010100 -1101100 1 -1 2 1 1.75 -3.5
149: 10010101 -1101011 1 -1 2 1 1.6875 -3.375
150: 10010110 -1101010 1 -1 2 1 1625 -3.25
151: 10010111 -1101001 1 -1 2 1 1.5625 -3.125
152: 10011000 -1101000 1 -1 2 1 1.5 -3
153: 10011001 -1100111 1 -1 2 1 1.4375 -2.875
154: 10011010 -1100110 1 -1 2 1 1375 -2.75
155: 10011011 -1100101 1 -1 2 1 1.3125 -2.625
156: 10011100 -1100100 1 -1 2 1 1.25 -2.5
157: 10011101 -1100011 1 -1 2 1 1.1875 -2.375
158: 10011110 -1100010 1 -1 2 1 1125 -2.25
159: 10011111 -1100001 1 -1 2 1 1.0625 -2.125
160: 10100000 -1100000 1 -1 2 1 1 -2
161: 10100001 -1011111 0 -1 1 1 1.96875 -1.96875
162: 10100010 -1011110 0 -1 1 1 1.9375 -1.9375
163: 10100011 -1011101 0 -1 1 1 1.90625 -1.90625
164: 10100100 -1011100 0 -1 1 1 1875 -1875
165: 10100101 -1011011 0 -1 1 1 1.84375 -1.84375
166: 10100110 -1011010 0 -1 1 1 1.8125 -1.8125
167: 10100111 -1011001 0 -1 1 1 1.78125 -1.78125
168: 10101000 -1011000 0 -1 1 1 1.75 -1.75
169: 10101001 -1010111 0 -1 1 1 1.71875 -1.71875
170: 10101010 -1010110 0 -1 1 1 1.6875 -1.6875
171: 10101011 -1010101 0 -1 1 1 1.65625 -1.65625
172: 10101100 -1010100 0 -1 1 1 1625 -1.625
173: 10101101 -1010011 0 -1 1 1 1.59375 -1.59375
174: 10101110 -1010010 0 -1 1 1 1.5625 -1.5625
175: 10101111 -1010001 0 -1 1 1 1.53125 -1.53125
176: 10110000 -1010000 0 -1 1 1 1.5 -1.5
177: 10110001 -1001111 0 -1 1 1 1.46875 -1.46875
178: 10110010 -1001110 0 -1 1 1 1.4375 -1.4375
179: 10110011 -1001101 0 -1 1 1 1.40625 -1.40625
180: 10110100 -1001100 0 -1 1 1 1375 -1.375
181: 10110101 -1001011 0 -1 1 1 1.34375 -1.34375
182: 10110110 -1001010 0 -1 1 1 1.3125 -1.3125
183: 10110111 -1001001 0 -1 1 1 1.28125 -1.28125
184: 10111000 -1001000 0 -1 1 1 1.25 -1.25
185: 10111001 -1000111 0 -1 1 1 1.21875 -1.21875
186: 10111010 -1000110 0 -1 1 1 1.1875 -1.1875
187: 10111011 -1000101 0 -1 1 1 1.15625 -1.15625
188: 10111100 -1000100 0 -1 1 1 1125 -1.125
189: 10111101 -1000011 0 -1 1 1 1.09375 -1.09375
190: 10111110 -1000010 0 -1 1 1 1.0625 -1.0625
191: 10111111 -1000001 0 -1 1 1 1.03125 -1.03125
192: 11000000 -1000000 0 -1 1 1 1 -1
193: 11000001 -111111 -1 -1 0.5 1 1.96875 -0.984375
194: 11000010 -111110 -1 -1 0.5 1 1.9375 -0.96875
195: 11000011 -111101 -1 -1 0.5 1 1.90625 -0.953125
196: 11000100 -111100 -1 -1 0.5 1 1875 -0.9375
197: 11000101 -111011 -1 -1 0.5 1 1.84375 -0.921875
198: 11000110 -111010 -1 -1 0.5 1 1.8125 -0.90625
199: 11000111 -111001 -1 -1 0.5 1 1.78125 -0.890625
200: 11001000 -111000 -1 -1 0.5 1 1.75 -0.875
201: 11001001 -110111 -1 -1 0.5 1 1.71875 -0.859375
202: 11001010 -110110 -1 -1 0.5 1 1.6875 -0.84375
203: 11001011 -110101 -1 -1 0.5 1 1.65625 -0.828125
204: 11001100 -110100 -1 -1 0.5 1 1625 -0.8125
205: 11001101 -110011 -1 -1 0.5 1 1.59375 -0.796875
206: 11001110 -110010 -1 -1 0.5 1 1.5625 -0.78125
207: 11001111 -110001 -1 -1 0.5 1 1.53125 -0.765625
208: 11010000 -110000 -1 -1 0.5 1 1.5 -0.75
209: 11010001 -101111 -1 -1 0.5 1 1.46875 -0.734375
210: 11010010 -101110 -1 -1 0.5 1 1.4375 -0.71875
211: 11010011 -101101 -1 -1 0.5 1 1.40625 -0.703125
212: 11010100 -101100 -1 -1 0.5 1 1375 -0.6875
213: 11010101 -101011 -1 -1 0.5 1 1.34375 -0.671875
214: 11010110 -101010 -1 -1 0.5 1 1.3125 -0.65625
215: 11010111 -101001 -1 -1 0.5 1 1.28125 -0.640625
216: 11011000 -101000 -1 -1 0.5 1 1.25 -0.625
217: 11011001 -100111 -1 -1 0.5 1 1.21875 -0.609375
218: 11011010 -100110 -1 -1 0.5 1 1.1875 -0.59375
219: 11011011 -100101 -1 -1 0.5 1 1.15625 -0.578125
220: 11011100 -100100 -1 -1 0.5 1 1125 -0.5625
221: 11011101 -100011 -1 -1 0.5 1 1.09375 -0.546875
222: 11011110 -100010 -1 -1 0.5 1 1.0625 -0.53125
223: 11011111 -100001 -1 -1 0.5 1 1.03125 -0.515625
224: 11100000 -100000 -1 -1 0.5 1 1 -0.5
225: 11100001 -11111 -2 -1 0.25 1 1.9375 -0.484375
226: 11100010 -11110 -2 -1 0.25 1 1875 -0.46875
227: 11100011 -11101 -2 -1 0.25 1 1.8125 -0.453125
228: 11100100 -11100 -2 -1 0.25 1 1.75 -0.4375
229: 11100101 -11011 -2 -1 0.25 1 1.6875 -0.421875
230: 11100110 -11010 -2 -1 0.25 1 1625 -0.40625
231: 11100111 -11001 -2 -1 0.25 1 1.5625 -0.390625
232: 11101000 -11000 -2 -1 0.25 1 1.5 -0.375
233: 11101001 -10111 -2 -1 0.25 1 1.4375 -0.359375
234: 11101010 -10110 -2 -1 0.25 1 1375 -0.34375
235: 11101011 -10101 -2 -1 0.25 1 1.3125 -0.328125
